fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,300.2,1541.03,80.98,True,
2,FOODS_1_001,CA_1,422.36,1703.63,84.35,True,
3,FOODS_1_001,CA_1,442.7,1397.21,83.99,True,
1,FOODS_1_002,CA_1,439.03,948.28,72.65,True,
2,FOODS_1_002,CA_1,272.3,481.22,98.37,True,
3,FOODS_1_002,CA_1,467.06,1879.96,46.75,True,
1,FOODS_1_003,TX_1,177.3,1901.52,79.79,True,
2,FOODS_1_003,TX_1,239.48,616.82,96.18,True,
3,FOODS_1_003,TX_1,417.51,1763.91,43.72,True,
1,FOODS_1_004,TX_2,411.41,1789.22,21.5,True,
2,FOODS_1_004,TX_2,200.99,933.1,93.43,False,timeout
3,FOODS_1_004,TX_2,193.76,377.99,36.07,True,
1,HOUSEHOLD_1_001,WI_1,165.05,1261.27,20.05,True,
2,HOUSEHOLD_1_001,WI_1,266.98,821.58,94.28,True,
3,HOUSEHOLD_1_001,WI_1,160.66,717.27,22.87,True,
1,HOUSEHOLD_1_002,WI_2,339.96,131.43,50.5,False,timeout
2,HOUSEHOLD_1_002,WI_2,128.23,1248.71,95.32,True,
3,HOUSEHOLD_1_002,WI_2,324.21,1327.69,91.3,True,
1,HOBBIES_1_001,CA_2,144.05,457.92,26.14,True,
2,HOBBIES_1_001,CA_2,406.93,1936.36,82.56,True,
3,HOBBIES_1_001,CA_2,248.31,709.32,90.69,True,
1,HOBBIES_1_002,TX_1,441.61,1576.74,39.49,True,
2,HOBBIES_1_002,TX_1,384.27,524.22,87.87,True,
3,HOBBIES_1_002,TX_1,366.72,1033.06,53.35,True,
1,HOBBIES_1_003,TX_2,303.93,1792.99,66.66,True,
2,HOBBIES_1_003,TX_2,485.14,210.2,15.62,True,
3,HOBBIES_1_003,TX_2,273.35,767.38,56.44,True,
1,HOUSEHOLD_1_003,WI_3,489.06,1890.77,82.78,True,
2,HOUSEHOLD_1_003,WI_3,418.96,1695.2,99.9,True,
3,HOUSEHOLD_1_003,WI_3,254.44,65.84,22.86,True,
