fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,0.01,1001.37,11.69,False,timeout
2,FOODS_1_001,CA_1,0.01,1407.45,87.84,True,
3,FOODS_1_001,CA_1,0.01,685.17,41.5,False,timeout
1,FOODS_1_002,CA_1,0.01,450.14,30.25,True,
2,FOODS_1_002,CA_1,0.01,1811.28,62.02,True,
3,FOODS_1_002,CA_1,0.01,1445.82,84.96,True,
1,FOODS_1_003,TX_1,0.01,571.06,25.23,True,
2,FOODS_1_003,TX_1,0.01,512.97,35.77,False,timeout
3,FOODS_1_003,TX_1,0.01,400.0,74.05,True,
1,FOODS_1_004,TX_2,0.01,694.94,57.7,False,timeout
2,FOODS_1_004,TX_2,0.01,1338.61,67.94,True,
3,FOODS_1_004,TX_2,0.01,1993.15,56.94,True,
1,HOUSEHOLD_1_001,WI_1,0.01,255.9,41.13,True,
2,HOUSEHOLD_1_001,WI_1,0.01,1872.07,24.84,True,
3,HOUSEHOLD_1_001,WI_1,0.01,1204.39,27.03,True,
1,HOUSEHOLD_1_002,WI_2,0.01,1760.86,58.66,False,timeout
2,HOUSEHOLD_1_002,WI_2,0.01,160.09,73.74,True,
3,HOUSEHOLD_1_002,WI_2,0.01,1102.16,23.59,True,
1,HOBBIES_1_001,CA_2,0.01,210.49,62.62,True,
2,HOBBIES_1_001,CA_2,0.01,1204.66,23.2,True,
3,HOBBIES_1_001,CA_2,0.01,1883.89,97.4,True,
1,HOBBIES_1_002,TX_1,0.01,60.21,10.38,True,
2,HOBBIES_1_002,TX_1,0.01,1406.99,76.8,True,
3,HOBBIES_1_002,TX_1,0.01,1307.92,30.63,True,
1,HOBBIES_1_003,TX_2,0.01,1619.78,97.67,True,
2,HOBBIES_1_003,TX_2,0.01,1247.02,29.48,True,
3,HOBBIES_1_003,TX_2,0.01,1681.93,81.34,True,
1,HOUSEHOLD_1_003,WI_3,0.01,769.69,18.83,True,
2,HOUSEHOLD_1_003,WI_3,0.01,1679.06,45.55,True,
3,HOUSEHOLD_1_003,WI_3,0.01,1448.86,16.73,True,
