fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,14.71,190.46,10.44,True,
2,FOODS_1_001,CA_1,19.73,804.45,76.33,True,
3,FOODS_1_001,CA_1,5.78,336.92,17.55,True,
1,FOODS_1_002,CA_1,2.73,163.47,83.54,True,
2,FOODS_1_002,CA_1,18.98,1349.86,35.41,False,timeout
3,FOODS_1_002,CA_1,12.86,1643.94,94.34,True,
1,FOODS_1_003,TX_1,7.62,1249.53,23.79,True,
2,FOODS_1_003,TX_1,6.88,389.11,10.08,True,
3,FOODS_1_003,TX_1,18.36,1313.62,78.92,True,
1,FOODS_1_004,TX_2,3.71,894.91,61.66,True,
2,FOODS_1_004,TX_2,7.74,970.38,76.57,True,
3,FOODS_1_004,TX_2,14.13,1024.33,72.75,True,
1,HOUSEHOLD_1_001,WI_1,14.7,1517.2,69.76,True,
2,HOUSEHOLD_1_001,WI_1,18.41,1320.7,57.11,True,
3,HOUSEHOLD_1_001,WI_1,9.79,1714.71,70.86,True,
1,HOUSEHOLD_1_002,WI_2,14.14,388.26,34.55,True,
2,HOUSEHOLD_1_002,WI_2,6.01,125.45,49.66,True,
3,HOUSEHOLD_1_002,WI_2,7.16,1825.36,52.76,True,
1,HOBBIES_1_001,CA_2,12.57,1170.78,62.23,False,timeout
2,HOBBIES_1_001,CA_2,3.38,1841.97,83.34,True,
3,HOBBIES_1_001,CA_2,19.56,584.13,92.17,True,
1,HOBBIES_1_002,TX_1,17.97,1412.47,38.83,True,
2,HOBBIES_1_002,TX_1,19.03,1796.4,40.42,True,
3,HOBBIES_1_002,TX_1,8.49,763.62,41.98,True,
1,HOBBIES_1_003,TX_2,3.06,541.16,94.17,True,
2,HOBBIES_1_003,TX_2,9.49,1345.43,22.46,True,
3,HOBBIES_1_003,TX_2,13.16,694.8,77.52,True,
1,HOUSEHOLD_1_003,WI_3,12.73,105.06,92.37,True,
2,HOUSEHOLD_1_003,WI_3,14.86,370.1,22.53,True,
3,HOUSEHOLD_1_003,WI_3,11.7,334.85,24.04,True,
