fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,54.24,60.15,58.28,True,
2,FOODS_1_001,CA_1,26.42,1407.48,84.28,True,
3,FOODS_1_001,CA_1,5.44,252.7,42.04,True,
1,FOODS_1_002,CA_1,8.55,1837.34,22.61,True,
2,FOODS_1_002,CA_1,46.09,1153.36,41.96,True,
3,FOODS_1_002,CA_1,38.28,53.79,82.86,True,
1,FOODS_1_003,TX_1,43.82,1168.6,55.56,True,
2,FOODS_1_003,TX_1,51.5,1120.53,71.38,True,
3,FOODS_1_003,TX_1,39.0,1861.25,75.25,True,
1,FOODS_1_004,TX_2,39.43,1131.94,20.45,True,
2,FOODS_1_004,TX_2,51.08,638.71,58.47,True,
3,FOODS_1_004,TX_2,18.27,220.22,49.7,True,
1,HOUSEHOLD_1_001,WI_1,58.73,741.3,59.72,True,
2,HOUSEHOLD_1_001,WI_1,17.28,1694.12,47.74,True,
3,HOUSEHOLD_1_001,WI_1,35.66,354.12,72.19,True,
1,HOUSEHOLD_1_002,WI_2,52.32,1137.28,71.3,True,
2,HOUSEHOLD_1_002,WI_2,23.58,1729.98,65.95,True,
3,HOUSEHOLD_1_002,WI_2,29.91,582.91,66.39,True,
1,HOBBIES_1_001,CA_2,55.79,452.26,99.55,True,
2,HOBBIES_1_001,CA_2,36.54,1319.4,52.24,True,
3,HOBBIES_1_001,CA_2,23.02,812.62,61.76,True,
1,HOBBIES_1_002,TX_1,57.08,1676.42,65.55,True,
2,HOBBIES_1_002,TX_1,9.43,1627.67,11.55,True,
3,HOBBIES_1_002,TX_1,18.18,356.61,31.86,True,
1,HOBBIES_1_003,TX_2,18.69,153.49,99.17,False,timeout
2,HOBBIES_1_003,TX_2,21.23,1911.01,38.99,True,
3,HOBBIES_1_003,TX_2,7.15,1916.56,93.74,True,
1,HOUSEHOLD_1_003,WI_3,13.26,194.15,77.68,True,
2,HOUSEHOLD_1_003,WI_3,13.38,892.96,19.9,True,
3,HOUSEHOLD_1_003,WI_3,7.19,1286.21,74.97,True,
