fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,FOODS_1_001,CA_1,0.02,1983.63,49.63,True,
2,FOODS_1_001,CA_1,0.02,1127.32,45.66,True,
3,FOODS_1_001,CA_1,0.02,1334.39,47.66,False,timeout
1,FOODS_1_002,CA_1,0.02,212.05,50.09,True,
2,FOODS_1_002,CA_1,0.02,1598.31,40.31,False,timeout
3,FOODS_1_002,CA_1,0.02,587.63,45.53,True,
1,FOODS_1_003,TX_1,0.02,869.75,56.35,True,
2,FOODS_1_003,TX_1,0.02,1347.6,95.62,True,
3,FOODS_1_003,TX_1,0.02,1276.29,37.99,True,
1,FOODS_1_004,TX_2,0.02,450.25,28.43,True,
2,FOODS_1_004,TX_2,0.02,1126.36,53.28,True,
3,FOODS_1_004,TX_2,0.02,1361.07,24.56,True,
1,HOUSEHOLD_1_001,WI_1,0.02,1982.7,85.4,False,timeout
2,HOUSEHOLD_1_001,WI_1,0.02,1131.9,82.53,True,
3,HOUSEHOLD_1_001,WI_1,0.02,1521.06,40.16,True,
1,HOUSEHOLD_1_002,WI_2,0.02,1628.42,56.13,True,
2,HOUSEHOLD_1_002,WI_2,0.02,1866.21,39.54,True,
3,HOUSEHOLD_1_002,WI_2,0.02,946.76,23.4,False,timeout
1,HOBBIES_1_001,CA_2,0.02,1919.55,52.28,True,
2,HOBBIES_1_001,CA_2,0.02,1815.63,67.72,True,
3,HOBBIES_1_001,CA_2,0.02,1532.31,88.09,True,
1,HOBBIES_1_002,TX_1,0.02,226.45,17.4,True,
2,HOBBIES_1_002,TX_1,0.02,1340.71,84.43,True,
3,HOBBIES_1_002,TX_1,0.02,1005.84,60.13,True,
1,HOBBIES_1_003,TX_2,0.02,714.03,93.82,True,
2,HOBBIES_1_003,TX_2,0.02,1437.9,13.85,True,
3,HOBBIES_1_003,TX_2,0.02,1129.88,74.61,True,
1,HOUSEHOLD_1_003,WI_3,0.02,368.88,45.42,True,
2,HOUSEHOLD_1_003,WI_3,0.02,526.93,31.64,True,
3,HOUSEHOLD_1_003,WI_3,0.02,1898.7,34.11,False,timeout
